,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best.of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
1,6,Melbourne,Australian Open,1/2/2009,Grand Slam,Outdoor,Hard,The Final,5,Nadal R.,Federer R.,1,2,7,5,3,6,7,6,3,6,6,2,3,2,Completed
5,6,Melbourne,Australian Open,13/01/2003,Grand Slam,Outdoor,Hard,1st Round,5,Arthurs W.,Daniel M.,52,241,6,7,3,6,7,6,6,4,6,4,3,2,Completed
15,6,Melbourne,Australian Open,13/01/2003,Grand Slam,Outdoor,Hard,1st Round,5,Gambill J.M.,Llodra M.,33,110,6,2,7,5,6,7,2,6,6,2,3,2,Completed
23,6,Melbourne,Australian Open,13/01/2003,Grand Slam,Outdoor,Hard,1st Round,5,Lisnard J.R.,Gaudenzi A.,89,121,6,4,2,6,6,1,4,6,6,1,3,2,Completed
25,6,Melbourne,Australian Open,13/01/2003,Grand Slam,Outdoor,Hard,1st Round,5,Mantilla F.,Zabaleta M.,73,46,4,6,7,5,6,3,4,6,6,4,3,2,Completed
27,6,Melbourne,Australian Open,13/01/2003,Grand Slam,Outdoor,Hard,1st Round,5,Nieminen J.,Davydenko N.,41,61,6,3,3,6,3,6,6,2,7,5,3,2,Completed
30,6,Melbourne,Australian Open,13/01/2003,Grand Slam,Outdoor,Hard,1st Round,5,Sanchez D.,Pless K.,60,82,5,7,6,3,1,6,6,4,10,8,3,2,Completed
36,6,Melbourne,Australian Open,13/01/2014,Grand Slam,Outdoor,Hard,1st Round,5,Nieminen J.,Sela D.,39,68,3,6,7,6,6,7,6,3,6,3,3,2,Completed
40,6,Melbourne,Australian Open,13/01/2014,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Johnson S.,71,147,3,6,6,3,6,0,5,7,6,4,3,2,Completed
46,6,Melbourne,Australian Open,13/01/2014,Grand Slam,Outdoor,Hard,1st Round,5,Anderson K.,Vesely J.,21,83,2,6,6,7,6,4,6,4,6,4,3,2,Completed
51,6,Melbourne,Australian Open,13/01/2014,Grand Slam,Outdoor,Hard,1st Round,5,Ebden M.,Mahut N.,67,46,6,3,7,5,4,6,0,6,6,3,3,2,Completed
55,6,Melbourne,Australian Open,13/01/2014,Grand Slam,Outdoor,Hard,1st Round,5,Benneteau J.,Carreno-Busta P.,38,63,6,3,3,6,4,6,6,1,6,2,3,2,Completed
56,6,Melbourne,Australian Open,13/01/2014,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Rosol L.,18,47,6,1,6,7,3,6,7,6,8,6,3,2,Completed
